,Address,City,Zip Code,Price,sqft,# of Beds,# of Baths
0,7947 Claremont DR,Dallas,75228,317900,,3.0,2.0
1,9833 Walnut Street,Dallas,75243,50000,,1.0,1.0
2,9825 Walnut Street,Dallas,75243,50000,,1.0,1.0
3,9809 Walnut Street,Dallas,75243,50000,,1.0,1.0
4,9805 Walnut Street,Dallas,75243,51000,,1.0,1.0
5,9815 Walnut Street,Dallas,75243,51000,,1.0,1.0
7,8600 Coppertowne Lane,Dallas,75243,144000,,2.0,1.0
8,6215 Teague Drive,Dallas,75241,160000,,4.0,2.0
9,1446 Laura Lane,Dallas,75241,160000,,2.0,1.0
10,2824 Belknap Avenue,Dallas,75216,164000,,3.0,1.0
11,3615 Dutton Drive,Dallas,75211,173000,,2.0,1.0
12,6015 Sunny Crest Lane,Dallas,75241,180000,,4.0,3.0
13,1200 Main Street,Dallas,75202,200000,,1.0,1.0
14,1122 Jackson Street,Dallas,75202,206000,,1.0,1.0
15,6102 Summer Creek Circle,Dallas,75231,210000,,2.0,2.0
16,13536 Vida Lane,Dallas,75253,210000,,3.0,2.0
17,12146 Willowdell Drive,Dallas,75243,219900,,3.0,2.0
18,5100 Verde Valley Lane,Dallas,75254,229000,,2.0,2.0
19,4242 N Capistrano Drive,Dallas,75287,235000,,2.0,2.0
20,2962 Housley Drive,Dallas,75228,235000,,3.0,2.0
21,2962 Housley DR,Dallas,75228,235000,,3.0,2.0
22,2820 Linfield Road,Dallas,75216,239900,,3.0,3.0
23,2919 Gus Thomasson Road,Dallas,75228,240000,,3.0,2.0
24,3035 Newcastle Drive,Dallas,75220,249900,,3.0,2.0
25,2507 S Vernon Avenue,Dallas,75224,259000,,4.0,3.0
26,9835 Whistler Drive,Dallas,75217,275000,,4.0,3.0
27,5200 Martel Avenue,Dallas,75206,279000,,2.0,3.0
28,2150 Lovedale Avenue,Dallas,75235,300000,,2.0,2.0
29,4834 Fallon Place,Dallas,75227,320000,,3.0,3.0
30,1407 Glenfield Avenue,Dallas,75224,325000,,2.0,2.0
31,1627 Wilbur Street,Dallas,75224,325000,,3.0,2.0
32,13911 Preston Valley Place,Dallas,75240,340000,,2.0,2.0
33,9752 Burney Drive,Dallas,75243,379900,,3.0,3.0
34,11232 Lanewood Circle,Dallas,75218,435000,,3.0,2.0
35,2217 Kirby Street,Dallas,75204,449900,,3.0,3.0
36,5015 Manett Street,Dallas,75206,459990,,2.0,3.0
37,4611 Travis Street,Dallas,75205,470000,,2.0,3.0
38,9703 Robin Hill Circle,Dallas,75238,475000,,3.0,3.0
39,9723 Lanward Circle,Dallas,75238,475000,,4.0,2.0
40,1632 Vaughan Court,Dallas,75208,485000,,3.0,3.0
41,17201 Meadow Tree Circle,Dallas,75248,509900,,3.0,4.0
42,202 S Edgefield Avenue,Dallas,75208,519900,,4.0,3.0
43,180 S Cisco Street,Dallas,75226,539000,,3.0,3.0
44,7001 Vivian Avenue,Dallas,75223,599000,,3.0,3.0
45,10849 Scotspring Lane,Dallas,75218,725000,,5.0,4.0
46,7704 Queens Garden Drive,Dallas,75248,725000,,4.0,4.0
47,9591 Highedge Drive,Dallas,75238,759000,,5.0,4.0
48,9118 Rock Daisy Court,Dallas,75231,799000,,3.0,3.0
49,6858 Meadowcreek Drive,Dallas,75254,850000,,5.0,6.0
50,9515 Moss Haven Drive,Dallas,75231,899000,,4.0,5.0
51,6230 Joyce Way,Dallas,75225,1400000,,3.0,3.0
52,5331 Emerson Avenue,Dallas,75209,1595000,,5.0,5.0
53,5122 Horseshoe Trail,Dallas,75209,2250000,,5.0,5.0
54,5001 Bowser Avenue,Dallas,75209,82500,,1.0,1.0
55,8601 Park Lane,Dallas,75231,89900,,1.0,1.0
56,2121 Lolita Drive,Dallas,75227,125375,,3.0,1.0
57,2627 Douglas Avenue,Dallas,75219,128500,,1.0,1.0
58,8550 Fair Oaks Crossing,Dallas,75243,129900,,2.0,1.0
59,3700 Hancock Street,Dallas,75210,129900,,3.0,2.0
