,Price,# of Beds,# of Baths,Address,City,Zip Code
0,"$124,900",2 Bd,2 bath,12484 Abrams Road,"Dallas, TX",75243
1,"$149,000",1 Bd,2 bath,5200 Martel Avenue,"Dallas, TX",75206
2,"$159,999",1 Bd,2 bath,5100 Verde Valley Lane,"Dallas, TX",75254
3,"$160,000",2 Bd,1 bath,2514 Glenfield Avenue,"Dallas, TX",75233
4,"$170,000",2 Bd,3 bath,10566 High Hollows Drive,"Dallas, TX",75230
5,"$173,000",2 Bd,1 bath,3615 Dutton Drive,"Dallas, TX",75211
6,"$183,900",3 Bd,2 bath,914 Highfall Drive,"Dallas, TX",75232
7,"$183,999",1 Bd,1 bath,3102 Kings Road,"Dallas, TX",75219
8,"$185,000",4 Bd,2 bath,6332 Fenway Street,"Dallas, TX",75217
9,"$187,999",4 Bd,2 bath,6324 Cinnamon Oaks Drive,"Dallas, TX",75241
10,"$190,000",2 Bd,2 bath,4039 Cole Avenue,"Dallas, TX",75204
11,"$199,900",2 Bd,1 bath,6326 Bordeaux Avenue,"Dallas, TX",75209
12,"$208,000",1 Bd,1 bath,2502 Live Oak Street,"Dallas, TX",75204
13,"$224,900",3 Bd,2 bath,2325 Bluffton Drive,"Dallas, TX",75228
14,"$229,900",2 Bd,2 bath,6411 Ridgemont Drive,"Dallas, TX",75214
15,"$240,000",2 Bd,2 bath,206 N Patton Avenue,"Dallas, TX",75203
16,"$259,000",4 Bd,3 bath,2418 Kahn Street,"Dallas, TX",75241
17,"$259,545",3 Bd,2 bath,718 PENGUIN Drive,"Dallas, TX",75241
18,"$259,900",1 Bd,1 bath,4303 Buena Vista Street,"Dallas, TX",75205
19,"$274,999",3 Bd,1 bath,925 S Brighton Avenue,"Dallas, TX",75208
20,"$275,000",3 Bd,3 bath,3314 Pueblo Street,"Dallas, TX",75212
21,"$287,550",2 Bd,2 bath,4405 Bowser Avenue,"Dallas, TX",75219
22,"$289,000",3 Bd,1 bath,4711 Cowan Avenue,"Dallas, TX",75209
23,"$290,000",3 Bd,2 bath,8771 Halstead Court,"Dallas, TX",75243
24,"$317,900",3 Bd,"2 bath
    | 1,428",7947 Claremont DR,"Dallas, TX",75228
25,"$319,800",0 Bd,0 bath,TBD N Morris Street,"Dallas, TX",75212
26,"$329,000",1 Bd,2 bath,3110 Thomas Avenue,"Dallas, TX",75204
27,"$334,900",3 Bd,2 bath,7030 Thornwood Drive,"Dallas, TX",75227
28,"$349,900",2 Bd,2 bath,509 Elm Street,"Dallas, TX",75202
29,"$374,900",3 Bd,1 bath,6147 Ravendale Lane,"Dallas, TX",75214
