,Price,Address,City,Zip Code,# of Beds,# of Baths,sqft
0,"$564,900",7200 Neches Pine Dr,"Frisco, TX",75036,3 Beds,2.5 Baths,"2,997 Sq. Ft."
1,"$930,000",4520 Florence Dr,"Frisco, TX",75034,3 Beds,3.5 Baths,"4,228 Sq. Ft."
2,"$305,000",8016 Cool River Dr,"Frisco, TX",75036,2 Beds,2 Baths,"1,548 Sq. Ft."
3,"$549,900",13942 Badger Creek Dr,"Frisco, TX",75033,5 Beds,3.5 Baths,"3,556 Sq. Ft."
4,"$423,550",1924 Dexter Ln,"Frisco, TX",75036,3 Beds,2 Baths,"1,970 Sq. Ft."
5,"$599,900",11761 Orange Ct,"Frisco, TX",75035,4 Beds,3 Baths,"3,676 Sq. Ft."
6,"$520,000",1946 Countryside Dr,"Frisco, TX",75036,5 Beds,3.5 Baths,"3,936 Sq. Ft."
7,"$774,900",16372 Lorna Doone Ln,"Frisco, TX",75033,5 Beds,4.5 Baths,"4,147 Sq. Ft."
8,"$869,900",12977 Railhead Ct,"Frisco, TX",75033,3 Beds,3.5 Baths,"3,432 Sq. Ft."
9,"$274,900",6959 Maple St,"Frisco, TX",75033,3 Beds,2 Baths,"1,533 Sq. Ft."
10,"$479,000",9629 Planters Row Dr,"Frisco, TX",75033,4 Beds,3.5 Baths,"3,600 Sq. Ft."
11,"$465,000",11566 Caladium Ln,"Frisco, TX",75035,4 Beds,3.5 Baths,"3,178 Sq. Ft."
12,"$1,099,000",5125 Normandy Dr,"Frisco, TX",75034,5 Beds,4.5 Baths,"5,855 Sq. Ft."
13,"$1,299,000",12684 Riverhill Rd,"Frisco, TX",75033,5 Beds,6 Baths,"4,854 Sq. Ft."
14,"$889,000",5358 Moss Glen Dr,"Frisco, TX",75034,5 Beds,3.5 Baths,"4,165 Sq. Ft."
15,"$489,900",1090 Frisco Ranch Rd,"Frisco, TX",75033,4 Beds,3.5 Baths,"2,845 Sq. Ft."
16,"$449,900",9991 Slick Rock Trl,"Frisco, TX",75033,4 Beds,2.5 Baths,"2,574 Sq. Ft."
17,"$325,000",13160 Guerin Dr,"Frisco, TX",75035,4 Beds,2 Baths,"2,073 Sq. Ft."
18,"$340,000",6848 Regello Dr,"Frisco, TX",75034,2 Beds,2.5 Baths,"1,818 Sq. Ft."
19,"$350,000",9758 Golden Fountain Dr,"Frisco, TX",75033,4 Beds,2 Baths,"2,096 Sq. Ft."
20,"$439,900",7601 Blossom Ln,"Frisco, TX",75034,3 Beds,2.5 Baths,"2,383 Sq. Ft."
21,"$445,900",12004 Rushing Creek Dr,"Frisco, TX",75035,4 Beds,3.5 Baths,"2,860 Sq. Ft."
22,"$900,000",6198 Rachel Dr,"Frisco, TX",75034,4 Beds,4 Baths,"4,967 Sq. Ft."
23,"$375,000",5904 Louisville Dr,"Frisco, TX",75035,4 Beds,2 Baths,"2,027 Sq. Ft."
24,"$389,900",2910 Reynolds Ln,"Frisco, TX",75033,3 Beds,2 Baths,"2,236 Sq. Ft."
25,"$425,000",7927 Canal St,"Frisco, TX",75034,2 Beds,2.5 Baths,"1,706 Sq. Ft."
26,"$515,000",8326 Sitka St,"Frisco, TX",75035,4 Beds,2.5 Baths,"3,071 Sq. Ft."
27,"$339,999",12018 Chattanooga Dr,"Frisco, TX",75035,3 Beds,2 Baths,"1,417 Sq. Ft."
28,"$365,000",10045 Bell Rock Rd,"Frisco, TX",75035,3 Beds,2 Baths,"2,169 Sq. Ft."
29,"$380,000",5113 Treehouse Dr,"Frisco, TX",75036,4 Beds,2.5 Baths,"2,462 Sq. Ft."
30,"$1,199,000",5374 Moss Glen Dr,"Frisco, TX",75034,5 Beds,4 Baths,"4,472 Sq. Ft."
31,"$1,152,990",2481 Haft River Rd,"Frisco, TX",75034,5 Beds,4 Baths,"4,002 Sq. Ft."
32,"$5,100,000",7901 Windrose Ave #2204,"Plano, TX",75024,4 Beds,4.5 Baths,"5,392 Sq. Ft."
33,"$625,000",1745 Evening Star Rd,"Frisco, TX",75033,4 Beds,4.5 Baths,"3,412 Sq. Ft."
34,"$530,000",5498 Balmoral Dr,"Frisco, TX",75034,4 Beds,3.5 Baths,"3,027 Sq. Ft."
35,"$505,000",10196 Ferry Farm Ln,"Frisco, TX",75035,4 Beds,3.5 Baths,"3,102 Sq. Ft."
36,"$454,000",9723 Stratton Dr,"Frisco, TX",75035,4 Beds,3 Baths,"1,963 Sq. Ft."
37,"$420,990+",Perry,"Frisco, TX",75034,3 Beds,2.5 Baths,"2,227 Sq. Ft."
38,"$640,000",609 Quail Creek Dr,"Frisco, TX",75036,5 Beds,4 Baths,"3,372 Sq. Ft."
39,"$495,000",10302 Teal Hollow Dr,"Frisco, TX",75035,5 Beds,3.5 Baths,"3,251 Sq. Ft."
40,"$525,000",11775 Barrymore Dr,"Frisco, TX",75035,5 Beds,3.5 Baths,"3,128 Sq. Ft."
