,Price,# of Beds,# of Baths,sqft,Address,City
0,"$245,000",4bd,2ba,"2,200 sqft",2827 Curvilinear Ct,"Southeast Dallas, Dallas, TX"
1,"$475,000",3bd,2ba,"2,089 sqft",7036 Winchester St,"Northeast Dallas, Dallas, TX"
2,"$275,000",4bd,2ba,"1,800 sqft",132 W Woodin Blvd,"Cedar Crest, Dallas, TX"
3,"$209,900",3bd,2ba,"1,902 sqft",7311 Hardwood Trl,"Southwest Dallas, Dallas, TX"
4,"$225,000",5bd,2ba,"2,500 sqft",2720 E Atoll Dr,"Cedar Crest, Dallas, TX"
5,"$181,900",3bd,2ba,"1,262 sqft",1337 Kingsley Dr,"Cedar Crest, Dallas, TX"
6,"$499,999",4bd,3ba,"2,522 sqft",10548 Wyatt St,"Northeast Dallas, Dallas, TX"
7,"$275,000",4bd,3ba,"2,482 sqft",9835 Whistler Dr,"Southeast Dallas, Dallas, TX"
8,"$395,000",3bd,2ba,"1,500 sqft",9747 E Lake Highlands Dr,"Northeast Dallas, Dallas, TX"
9,"$435,000",4bd,3ba,"2,366 sqft",6009 Black Berry Ln,"Far North, Dallas, TX"
10,"$319,000",4bd,2ba,"1,720 sqft",3531 Burlingdell Ave,"Dells District, Dallas, TX"
11,"$829,500",3bd,2ba,"1,804 sqft",6882 Avalon Ave,"Northeast Dallas, Dallas, TX"
12,"$375,000",4bd,3ba,"2,463 sqft",12618 Trenton Dr,"Northeast Dallas, Dallas, TX"
13,"$344,900",4bd,4ba,"2,141 sqft",2683 Peavy Rd,"Northeast Dallas, Dallas, TX"
14,"$899,000",5bd,5ba,"4,132 sqft",3739 Vinecrest Dr,"Preston Hollow, Dallas, TX"
15,"$325,000",3bd,2ba,"1,820 sqft",1627 Wilbur St,"Southwest Dallas, Dallas, TX"
16,"$210,000",3bd,2ba,"1,441 sqft",13536 Vida Ln,"Southeast Dallas, Dallas, TX"
17,"$389,000",3bd,2ba,"2,101 sqft",1402 Seevers Ave,"Cedar Crest, Dallas, TX"
18,"$24,000,000",9bd,19ba,"20,000 sqft",4444 Valley Ridge Rd,"Preston Hollow, Dallas, TX"
19,"$485,000",3bd,3ba,"2,042 sqft",10211 Carry Back Cir,"Preston Hollow, Dallas, TX"
20,"$435,000",3bd,2ba,"1,653 sqft",11232 Lanewood Cir,"Northeast Dallas, Dallas, TX"
21,"$499,900",3bd,2ba,"1,647 sqft",10619 Lakemere Dr,"Northeast Dallas, Dallas, TX"
22,"$299,000",4bd,2ba,"2,151 sqft",10525 Channel Dr,"Preston Hollow, Dallas, TX"
23,"$729,000",4bd,5ba,"2,811 sqft",5505 Ellsworth Ave,"M Streets, Dallas, TX"
24,"$327,900",2bd,2ba,"1,122 sqft",1530 S Montreal Ave,"Southwest Dallas, Dallas, TX"
25,"$180,000",4bd,3ba,"1,578 sqft",6015 Sunny Crest Ln,"South Dallas, Dallas, TX"
26,"$178,374",4bd,2ba,"1,302 sqft",1920 Oak Hill Cir,"Southeast Dallas, Dallas, TX"
27,"$650,000",3bd,3ba,"1,712 sqft",8648 Forest Hills Blvd,"Northeast Dallas, Dallas, TX"
28,"$519,900",4bd,3ba,"2,384 sqft",202 S Edgefield Ave,"Winnetka Heights, Dallas, TX"
29,"$415,000",4bd,2ba,"2,391 sqft",11060 Wallbrook Dr,"Northeast Dallas, Dallas, TX"
30,"$445,900",4bd,4ba,"2,860 sqft",12004 Rushing Creek Dr,"Frisco, TX"
31,"$325,000",4bd,2ba,"1,995 sqft",7297 Chinquapin Dr,"Frisco, TX"
32,"$295,000",3bd,3ba,"1,847 sqft",10313 Burgundy Dr,"Frisco, TX"
33,"$475,000",4bd,3ba,"2,860 sqft",11708 Blackhawk Dr,"Frisco, TX"
34,"$749,000",5bd,6ba,"4,710 sqft",12858 Palo Duro Dr,"Frisco, TX"
35,"$423,550",3bd,2ba,"1,970 sqft",1924 Dexter Ln,"Frisco, TX"
36,"$405,000",3bd,3ba,"2,166 sqft",11017 Aurora Ln,"Frisco, TX"
37,"$725,000",4bd,4ba,"3,193 sqft",3 Southern Hills Ct,"Frisco, TX"
38,"$725,000",5bd,5ba,"5,212 sqft",10229 Fire Ridge Dr,"Frisco, TX"
39,"$389,900",3bd,2ba,"2,236 sqft",2910 Reynolds Ln,"Frisco, TX"
40,"$375,000",4bd,2ba,"2,027 sqft",5904 Louisville Dr,"Frisco, TX"
41,"$465,000",4bd,4ba,"3,178 sqft",11566 Caladium Ln,"Frisco, TX"
42,"$475,000",4bd,3ba,"2,665 sqft",11025 Villita St,"Frisco, TX"
43,"$439,900",4bd,3ba,"2,837 sqft",11715 Eden Ln,"Frisco, TX"
44,"$1,299,000",5bd,7ba,"4,854 sqft",12684 Riverhill Rd,"Frisco, TX"
45,"$369,000",4bd,3ba,"2,207 sqft",2450 Thorntree Dr,"Frisco, TX"
46,"$350,000",4bd,3ba,"2,589 sqft",8212 Pacific St,"Frisco, TX"
47,"$579,000",5bd,5ba,"4,885 sqft",6341 Lorwood Dr,"Frisco, TX"
48,"$489,900",4bd,4ba,"2,845 sqft",1090 Frisco Ranch Rd,"Frisco, TX"
49,"$549,900",5bd,4ba,"3,556 sqft",13942 Badger Creek Dr,"Frisco, TX"
50,"$379,900",4bd,2ba,"2,172 sqft",1692 Dowelling Ct,"Frisco, TX"
51,"$437,500",4bd,4ba,"2,927 sqft",2649 Marshall Dr,"Frisco, TX"
52,"$625,000",4bd,5ba,"3,412 sqft",1745 Evening Star Rd,"Frisco, TX"
53,"$295,000",3bd,3ba,"1,396 sqft",9805 Concord Dr,"Frisco, TX"
54,"$1,200,000",4bd,4ba,"4,256 sqft",7 Harbour Town Ct,"Frisco, TX"
55,"$530,000",4bd,4ba,"3,027 sqft",5498 Balmoral Dr,"Frisco, TX"
56,"$520,000",5bd,4ba,"3,691 sqft",12571 Peace River Dr,"Frisco, TX"
57,"$388,900",4bd,2ba,"2,315 sqft",4900 Wisteria Dr,"Frisco, TX"
58,"$775,000",5bd,5ba,"5,544 sqft",5951 Beacon Hill Dr,"Frisco, TX"
59,"$1,150,000",6bd,6ba,"4,813 sqft",15246 Crystal Beach Ln,"Frisco, TX"
60,"$479,100",4bd,4ba,"3,380 sqft",2224 Dampton Dr,"Plano, TX"
61,"$350,000",3bd,2ba,"1,969 sqft",7801 Slater Trl,"Plano, TX"
62,"$399,900",3bd,3ba,"2,404 sqft",3700 Straw Harvest Dr,"Plano, TX"
63,"$424,900",3bd,2ba,"2,303 sqft",3705 Longbow Ln,"Plano, TX"
64,"$495,000",6bd,4ba,"3,323 sqft",2917 Falling Brook Dr,"Plano, TX"
65,"$535,000",4bd,4ba,"3,512 sqft",3236 Caravan Dr,"Plano, TX"
66,"$489,000",4bd,4ba,"3,664 sqft",3300 Edwards Dr,"Plano, TX"
67,"$386,900",4bd,3ba,"2,367 sqft",3932 Carrizo Dr,"Plano, TX"
68,"$445,000",4bd,3ba,"2,442 sqft",3609 Banks Cir,"Plano, TX"
69,"$340,000",3bd,2ba,"1,733 sqft",7616 Capella Ct,"Plano, TX"
70,"$475,000",4bd,3ba,"2,797 sqft",2300 Belmont Pl,"Plano, TX"
71,"$415,000",4bd,3ba,"2,988 sqft",3704 Aransas Dr,"Plano, TX"
72,"$250,000",3bd,2ba,"1,923 sqft",6017 Pinto Ct,"Clearview, Plano, TX"
73,"$400,000",4bd,3ba,"2,659 sqft",3629 Big Horn Trl,"Plano, TX"
74,"$325,000",3bd,2ba,"1,930 sqft",6203 Rainier Rd,"Plano, TX"
75,"$290,000",3bd,2ba,"1,820 sqft",1128 Gannon Dr,"Cross Creek, Plano, TX"
76,"$665,000",4bd,4ba,"3,690 sqft",6509 Hillswick Dr,"Plano, TX"
77,"$330,000",3bd,2ba,"1,784 sqft",3621 Worthington Way,"Plano, TX"
78,"$650,000",4bd,5ba,"3,614 sqft",5816 Johns Wood Dr,"Plano, TX"
79,"$450,000",3bd,3ba,"2,370 sqft",4441 Bentley Dr,"Plano, TX"
80,"$385,000",4bd,2ba,"2,434 sqft",3313 Estacado Ln,"Plano, TX"
81,"$219,900",3bd,2ba,"2,169 sqft",1605 Tampico Dr,"Plano, TX"
82,"$530,000",5bd,4ba,"3,616 sqft",4204 Warminster Dr,"Plano, TX"
83,"$319,900",3bd,3ba,"2,464 sqft",2905 Newport Cir,"Plano, TX"
