,Price,# of Beds,# of Baths,Address,City,Zip Code
0,$966,3 Bd,"2 bath
    | 1,423",Frank,"Dallas, TX",75210
1,"$317,900",3 Bd,"2 bath
    | 1,428",7947 Claremont DR,"Dallas, TX",75228
2,"$50,000",1 Bd,1 bath,9833 Walnut Street,"Dallas, TX",75243
3,"$50,000",1 Bd,1 bath,9825 Walnut Street,"Dallas, TX",75243
4,"$50,000",1 Bd,1 bath,9809 Walnut Street,"Dallas, TX",75243
5,"$51,000",1 Bd,1 bath,9805 Walnut Street,"Dallas, TX",75243
6,"$51,000",1 Bd,1 bath,9815 Walnut Street,"Dallas, TX",75243
7,"$59,000",0 Bd,0 bath,1016 Claude Street,"Dallas, TX",75203
8,"$64,900",0 Bd,0 bath,2404 Alabama Avenue,"Dallas, TX",75216
9,"$70,000",1 Bd,2 bath,9833 Walnut Street,"Dallas, TX",75243
10,"$144,000",2 Bd,1 bath,8600 Coppertowne Lane,"Dallas, TX",75243
11,"$160,000",4 Bd,2 bath,6215 Teague Drive,"Dallas, TX",75241
12,"$160,000",2 Bd,1 bath,1446 Laura Lane,"Dallas, TX",75241
13,"$164,000",3 Bd,1 bath,2824 Belknap Avenue,"Dallas, TX",75216
14,"$173,000",2 Bd,"1 bath
    | 804",3615 Dutton Drive,"Dallas, TX",75211
15,"$180,000",4 Bd,3 bath,6015 Sunny Crest Lane,"Dallas, TX",75241
16,"$200,000",1 Bd,1 bath,1200 Main Street,"Dallas, TX",75202
17,"$206,000",1 Bd,1 bath,1122 Jackson Street,"Dallas, TX",75202
18,"$210,000",2 Bd,2 bath,6102 Summer Creek Circle,"Dallas, TX",75231
19,"$210,000",3 Bd,2 bath,13536 Vida Lane,"Dallas, TX",75253
20,"$219,900",3 Bd,2 bath,12146 Willowdell Drive,"Dallas, TX",75243
21,"$229,000",2 Bd,2 bath,5100 Verde Valley Lane,"Dallas, TX",75254
22,"$235,000",2 Bd,2 bath,4242 N Capistrano Drive,"Dallas, TX",75287
23,"$235,000",3 Bd,2 bath,2962 Housley Drive,"Dallas, TX",75228
24,"$235,000",3 Bd,"2 bath
    | 1,960",2962 Housley DR,"Dallas, TX",75228
25,"$239,900",3 Bd,3 bath,2820 Linfield Road,"Dallas, TX",75216
26,"$240,000",3 Bd,2 bath,2919 Gus Thomasson Road,"Dallas, TX",75228
27,"$249,900",3 Bd,2 bath,3035 Newcastle Drive,"Dallas, TX",75220
28,"$259,000",4 Bd,3 bath,2507 S Vernon Avenue,"Dallas, TX",75224
29,"$275,000",4 Bd,3 bath,9835 Whistler Drive,"Dallas, TX",75217
30,"$279,000",2 Bd,3 bath,5200 Martel Avenue,"Dallas, TX",75206
31,"$300,000",2 Bd,2 bath,2150 Lovedale Avenue,"Dallas, TX",75235
32,"$320,000",3 Bd,3 bath,4834 Fallon Place,"Dallas, TX",75227
33,"$325,000",2 Bd,2 bath,1407 Glenfield Avenue,"Dallas, TX",75224
34,"$325,000",3 Bd,2 bath,1627 Wilbur Street,"Dallas, TX",75224
35,"$340,000",2 Bd,2 bath,13911 Preston Valley Place,"Dallas, TX",75240
36,"$379,900",3 Bd,3 bath,9752 Burney Drive,"Dallas, TX",75243
37,"$435,000",3 Bd,2 bath,11232 Lanewood Circle,"Dallas, TX",75218
38,"$449,900",3 Bd,3 bath,2217 Kirby Street,"Dallas, TX",75204
39,"$459,990",2 Bd,3 bath,5015 Manett Street,"Dallas, TX",75206
40,"$470,000",2 Bd,3 bath,4611 Travis Street,"Dallas, TX",75205
41,"$475,000",3 Bd,3 bath,9703 Robin Hill Circle,"Dallas, TX",75238
42,"$475,000",4 Bd,2 bath,9723 Lanward Circle,"Dallas, TX",75238
43,"$485,000",3 Bd,3 bath,1632 Vaughan Court,"Dallas, TX",75208
44,"$509,900",3 Bd,4 bath,17201 Meadow Tree Circle,"Dallas, TX",75248
45,"$519,900",4 Bd,3 bath,202 S Edgefield Avenue,"Dallas, TX",75208
46,"$539,000",3 Bd,3 bath,180 S Cisco Street,"Dallas, TX",75226
47,"$599,000",3 Bd,3 bath,7001 Vivian Avenue,"Dallas, TX",75223
48,"$725,000",5 Bd,4 bath,10849 Scotspring Lane,"Dallas, TX",75218
49,"$725,000",4 Bd,4 bath,7704 Queens Garden Drive,"Dallas, TX",75248
50,"$759,000",5 Bd,4 bath,9591 Highedge Drive,"Dallas, TX",75238
51,"$799,000",3 Bd,3 bath,9118 Rock Daisy Court,"Dallas, TX",75231
52,"$850,000",5 Bd,6 bath,6858 Meadowcreek Drive,"Dallas, TX",75254
53,"$899,000",4 Bd,5 bath,9515 Moss Haven Drive,"Dallas, TX",75231
54,"$1,400,000",3 Bd,3 bath,6230 Joyce Way,"Dallas, TX",75225
55,"$1,595,000",5 Bd,5 bath,5331 Emerson Avenue,"Dallas, TX",75209
56,"$2,250,000",5 Bd,5 bath,5122 Horseshoe Trail,"Dallas, TX",75209
57,"$3,400",1 Bd,2 bath,2900 Mckinnon Street,"Dallas, TX",75201
58,"$30,000",0 Bd,0 bath,3139 Mcdermott Avenue,"Dallas, TX",75215
59,"$82,500",1 Bd,1 bath,5001 Bowser Avenue,"Dallas, TX",75209
60,"$89,900",1 Bd,1 bath,8601 Park Lane,"Dallas, TX",75231
61,"$125,375",3 Bd,1 bath,2121 Lolita Drive,"Dallas, TX",75227
62,"$128,500",1 Bd,1 bath,2627 Douglas Avenue,"Dallas, TX",75219
63,"$129,900",2 Bd,1 bath,8550 Fair Oaks Crossing,"Dallas, TX",75243
64,"$129,900",3 Bd,2 bath,3700 Hancock Street,"Dallas, TX",75210
65,"$130,000",2 Bd,1 bath,10121 Stebbins Street,"Dallas, TX",75217
66,"$130,000",1 Bd,1 bath,5550 Spring Valley Road,"Dallas, TX",75254
67,"$135,000",2 Bd,2 bath,9801 Royal Lane,"Dallas, TX",75231
68,"$139,000",2 Bd,2 bath,12888 Montfort Drive,"Dallas, TX",75230
69,"$144,000",2 Bd,"1 bath
    | 868",8600 Coppertowne Lane #1705,"Dallas, TX",75243
70,"$145,000",2 Bd,1 bath,4117 Pampas Street,"Dallas, TX",75211
71,"$145,000",1 Bd,1 bath,5335 Bent Tree Forest Drive,"Dallas, TX",75248
72,"$146,750",3 Bd,1 bath,8615 Files Street,"Dallas, TX",75217
73,"$154,900",3 Bd,2 bath,511 Glencairn Drive,"Dallas, TX",75232
74,"$155,000",3 Bd,1 bath,3038 Marjorie Avenue,"Dallas, TX",75216
75,"$169,000",4 Bd,2 bath,4410 Cinda Ree Lane,"Dallas, TX",75216
76,"$174,900",2 Bd,2 bath,7706 Meadow Road,"Dallas, TX",75230
77,"$175,000",3 Bd,2 bath,1816 Peabody Avenue,"Dallas, TX",75215
78,"$177,000",2 Bd,2 bath,5051 N Hall Street,"Dallas, TX",75235
